suffire;0;2;0;1;0
simple;0;3;0;0;0
simonedebeauvoir;0;1;0;2;0
réserver;0;2;0;1;0
régime;0;0;0;3;0
réel;0;1;0;2;0
réduction;0;3;0;0;0
récemment;2;0;0;1;0
règle;0;3;0;0;0
revenir;0;1;1;1;0
respect;0;2;0;1;0
reprendre;0;2;0;0;1
renforcer;0;1;0;2;0
rendre;0;0;0;2;1
recevoir;0;0;1;2;0
quota;0;2;0;0;1
punir;0;0;1;2;0
présenter;0;3;0;0;0
présent;0;2;0;1;0
préparer;0;2;0;1;0
proposition;0;2;0;1;0
prestation;0;0;1;2;0
porter;0;0;0;3;0
pleinement;0;2;0;1;0
pierremauroy;0;3;0;0;0
partiel;0;0;0;3;0
occidental;0;3;0;0;0
nécessité;0;1;1;1;0
nombreux;0;1;0;2;0
naturellement;1;0;0;2;0
nation;0;2;0;1;0
modifier;1;1;0;1;0
mixité;1;0;0;2;0
marquer;1;2;0;0;0
mari;0;2;0;1;0
marcher;0;2;0;1;0
manière;1;0;0;2;0
ligne;0;1;0;2;0
lever;0;2;0;1;0
internet;0;0;1;2;0
inspirer;1;1;0;1;0
initiative;0;0;2;1;0
heureux;1;0;1;1;0
guerre;3;0;0;0;0
garçon;0;0;0;3;0
forme;0;2;1;0;0
fondamental;0;0;2;1;0
fait;0;2;0;1;0
exister;0;1;0;2;0
européen;0;3;0;0;0
effort;0;2;0;1;0
développer;2;1;0;0;0
désormais;0;0;0;3;0
débat;0;0;1;2;0
domestique;0;2;0;1;0
crise;0;0;1;2;0
convention;1;2;0;0;0
contraception;0;0;0;3;0
conseil;1;1;0;1;0
concrétiser;0;3;0;0;0
concertation;0;1;0;2;0
comporter;0;2;0;1;0
citer;0;0;0;3;0
cher;0;1;0;2;0
charger;0;1;0;2;0
changement;0;1;0;2;0
attacher;0;2;0;1;0
association;0;1;0;2;0
arrêter;0;0;0;3;0
arriver;0;2;0;1;0
agriculteur;0;2;0;1;0
actuel;0;1;0;2;0
acquérir;0;0;1;2;0
