"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"*";"*";"*";"*";"*";"*"
"16";"72";"22.22";"-20.795";"*loc_hollande";"5.112697e-06"
"16";"72";"22.22";"-20.795";"*date_2017";"5.112697e-06"
" 5";"22";"22.73";" -4.623";"*loc_chirac";"3.154495e-02"
" 5";"22";"22.73";" -4.623";"*date_2006";"3.154495e-02"
"**";"classe";"3";"**";"";""
"****";"9";"232";"3.88";"****";""
"2";"112";"1.79";"-2.545";"femme";"0.1106228"
"*****";"*";"*";"*";"*";"*"
"1";" 87";"1.15";"-2.782";"d";"0.09532927"
"3";"138";"2.17";"-2.657";"les";"0.10312381"
"*";"*";"*";"*";"*";"*"
"2";"138";"1.45";"-5.394";"*loc_mitterand";"0.0202087"
"2";"138";"1.45";"-5.394";"*date_1982";"0.0202087"
"**";"classe";"4";"**";"";""
"****";"102";"232";"43.97";"****";""
"1";"18";" 5.56";"-11.686";"égalité";"0.000629712"
"0";"10";" 0.00";" -8.200";"année";"0.004189999"
"2";"17";"11.76";" -7.721";"professionnel";"0.005458701"
"1";"13";" 7.69";" -7.355";"vie";"0.006687087"
"2";"16";"12.50";" -6.906";"premier";"0.008588417"
"1";"11";" 9.09";" -5.701";"voir";"0.016956712"
"0";" 7";" 0.00";" -5.663";"nom";"0.017324689"
"0";" 7";" 0.00";" -5.663";"victime";"0.017324689"
"0";" 7";" 0.00";" -5.663";"entendre";"0.017324689"
"0";" 7";" 0.00";" -5.663";"dernier";"0.017324689"
"1";"10";"10.00";" -4.894";"penser";"0.026953703"
"0";" 6";" 0.00";" -4.833";"autonomie";"0.027925266"
"0";" 6";" 0.00";" -4.833";"principe";"0.027925266"
"3";"16";"18.75";" -4.435";"loi";"0.035203154"
"0";" 5";" 0.00";" -4.009";"exigence";"0.045244880"
"0";" 5";" 0.00";" -4.009";"projet";"0.045244880"
"0";" 5";" 0.00";" -4.009";"statut";"0.045244880"
"0";" 5";" 0.00";" -4.009";"responsabilité";"0.045244880"
"0";" 5";" 0.00";" -4.009";"reconnaître";"0.045244880"
"0";" 5";" 0.00";" -4.009";"prostitution";"0.045244880"
"0";" 5";" 0.00";" -4.009";"objectif";"0.045244880"
"0";" 5";" 0.00";" -4.009";"mois";"0.045244880"
"0";" 5";" 0.00";" -4.009";"jour";"0.045244880"
"0";" 5";" 0.00";" -4.009";"essentiel";"0.045244880"
"0";" 5";" 0.00";" -4.009";"donner";"0.045244880"
"0";" 5";" 0.00";" -4.009";"discrimination";"0.045244880"
"0";" 5";" 0.00";" -4.009";"cours";"0.045244880"
