"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"modifier";-1,51215621738497;1,70961793922146;0,339549202256704;0,286965870002586;-0,650303881729671;0,73522243890451;0,146023381531045;0,12340988122863;0,444453630103324;0,526534948857805;0,0177471199396467;0,0112643010992247;0,00404710871818766;0,00517308583735901;0,000204059576554273;0,000145751169108568;0,00176991150442478;1,45020198729874;0,00372227575923046
"mixité";-0,721885801764888;2,39562913552627;0,491739516305732;0,687945290302802;-0,273331127271384;0,907068694988449;0,186189721403478;0,260480066569791;0,0818760163864433;0,8357084784751;0,0300870245334162;0,05232848060504;0,000922334709362362;0,0101575910707652;0,000427978321940876;0,000837643756548331;0,00176991150442478;1,61300314170683;0,00460491882328513
"marquer";-2,30242663300506;1,02360674291666;0,187358888207676;-0,114013550297631;-0,910324460767754;0,404709641091871;0,0740772263631665;-0,0450782327684618;0,840226703448792;0,153917176172503;0,0044061857057151;0,00144993467298949;0,00938259893870974;0,00185446152945919;6,21298283016222e-05;2,30072383211864e-05;0,00176991150442478;1,60595224064206;0,00456474796322702
"mari";-0,249738720703354;-0,663379304961357;-0,125161429105741;0,208919531338032;-0,333205902377684;-0,885092625227663;-0,166992634584673;0,278744204213732;0,121492622581091;0,794507335057697;0,0241662066508191;0,0598338357103937;0,000110388369236368;0,000778888676550466;2,77263421872414e-05;7,72519833177046e-05;0,00176991150442478;0,458095467218748;0,000371418508117456
"marcher";-0,249738720703354;-0,663379304961357;-0,125161429105741;0,208919531338032;-0,333205902377684;-0,885092625227663;-0,166992634584673;0,278744204213732;0,121492622581091;0,794507335057697;0,0241662066508191;0,0598338357103937;0,000110388369236368;0,000778888676550466;2,77263421872414e-05;7,72519833177046e-05;0,00176991150442478;0,458095467218748;0,000371418508117456
"manière";-0,721885801764888;2,39562913552627;0,491739516305732;0,687945290302802;-0,273331127271384;0,907068694988449;0,186189721403478;0,260480066569791;0,0818760163864433;0,8357084784751;0,0300870245334162;0,05232848060504;0,000922334709362362;0,0101575910707652;0,000427978321940876;0,000837643756548331;0,00176991150442478;1,61300314170683;0,00460491882328513
"ligne";0,540531694916731;0,0226318913434489;0,0270288849432869;0,609898951638249;0,662646215379689;0,0277447877463153;0,0331351306168295;0,747684614737318;0,52643893454945;0,000855348902839235;0,00104244043352405;0,471663276114186;0,000517123032229299;9,06553107578192e-07;1,29302764827866e-06;0,000658365895945902;0,00176991150442478;0,476312774378337;0,000401546653161042
"lever";-0,249738720703354;-0,663379304961357;-0,125161429105741;0,208919531338032;-0,333205902377684;-0,885092625227663;-0,166992634584673;0,278744204213732;0,121492622581091;0,794507335057697;0,0241662066508191;0,0598338357103937;0,000110388369236368;0,000778888676550466;2,77263421872414e-05;7,72519833177046e-05;0,00176991150442478;0,458095467218748;0,000371418508117456
"internet";1,51743567344084;1,18651571199412;-1,59165805490843;-1,96919305236318;0,476965829223363;0,372949878774473;-0,500295674661453;-0,618963830599508;0,276007299370794;0,156402217752481;0,240485473426739;0,327105009449987;0,00407541773987764;0,00249171599081223;0,00448385020133607;0,00686322349995648;0,00176991150442478;1,84669456561116;0,00603589525426156
"inspirer";-1,51215621738497;1,70961793922146;0,339549202256704;0,286965870002586;-0,650303881729671;0,73522243890451;0,146023381531045;0,12340988122863;0,444453630103324;0,526534948857805;0,0177471199396467;0,0112643010992247;0,00404710871818766;0,00517308583735901;0,000204059576554273;0,000145751169108568;0,00176991150442478;1,45020198729874;0,00372227575923046
"initiative";1,70406923634487;1,66438833633998;-3,36253530880917;-4,94926447666482;0,26459967767225;0,258438218309508;-0,522118315322021;-0,768497991342881;0,091709340350612;0,0810857160451226;0,28278874516774;0,544416198436526;0,00513956099514512;0,0049029885560081;0,0200117587663511;0,0433543696636749;0,00176991150442478;3,59770472601262;0,0229088129125195
