"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;5;7;7;7;7;7;7;7
"2";3;5;6;8;8;13;13;17;17
"3";3;5;6;8;8;13;13;17;17
"4";3;5;6;9;9;9;9;9;9
"5";3;4;4;4;10;10;15;15;19
"6";3;4;4;4;10;10;15;15;19
"7";3;5;6;8;8;13;13;17;17
"8";3;5;6;8;8;13;13;17;17
"9";3;5;6;8;8;12;12;12;12
"10";3;4;4;4;10;10;15;15;19
"11";3;4;4;4;10;10;14;14;14
"12";3;4;4;4;10;10;14;14;14
"13";3;4;4;4;10;10;15;15;18
"14";3;4;4;4;10;10;15;15;19
"15";3;5;6;9;9;9;9;9;9
"16";3;4;4;4;10;10;15;15;19
"17";3;4;4;4;10;10;15;15;19
"18";3;4;4;4;10;10;14;14;14
"19";3;5;6;8;8;13;13;17;17
"20";3;4;4;4;10;10;15;15;19
"21";3;4;4;4;10;10;15;15;18
"22";3;4;4;4;10;10;15;15;19
"23";3;4;4;4;10;10;15;15;19
"24";3;5;6;8;8;13;13;17;17
"25";3;4;4;4;10;10;15;15;19
"26";3;5;6;8;8;12;12;12;12
"27";3;5;6;8;8;13;13;17;17
"28";3;4;4;4;10;10;15;15;19
"29";3;4;4;4;10;10;15;15;19
"30";3;5;6;8;8;12;12;12;12
"31";3;5;6;8;8;12;12;12;12
"32";3;5;6;8;8;12;12;12;12
"33";3;5;6;8;8;12;12;12;12
"34";3;5;6;8;8;12;12;12;12
"35";3;5;6;8;8;12;12;12;12
"36";3;5;6;8;8;12;12;12;12
"37";3;5;6;8;8;13;13;17;17
"38";3;5;6;8;8;13;13;17;17
"39";3;5;6;8;8;12;12;12;12
"40";3;5;6;8;8;13;13;17;17
"41";3;4;4;4;10;10;15;15;19
"42";3;4;4;4;10;10;15;15;19
"43";3;5;6;8;8;12;12;12;12
"44";3;5;6;8;8;12;12;12;12
"45";3;5;6;8;8;13;13;17;17
"46";3;4;4;4;11;11;11;11;11
"47";3;5;6;8;8;13;13;17;17
"48";3;5;6;8;8;12;12;12;12
"49";3;5;6;8;8;13;13;17;17
"50";3;4;4;4;10;10;15;15;19
"51";3;4;4;4;10;10;15;15;18
"52";3;5;7;7;7;7;7;7;7
"53";3;5;6;8;8;13;13;17;17
"54";3;4;4;4;10;10;15;15;19
"55";3;4;4;4;11;11;11;11;11
"56";3;4;4;4;10;10;15;15;19
"57";3;5;6;8;8;13;13;17;17
"58";3;5;6;8;8;12;12;12;12
"59";3;5;6;8;8;13;13;17;17
"60";3;5;6;8;8;13;13;17;17
"61";3;5;6;8;8;13;13;17;17
"62";3;4;4;4;11;11;11;11;11
"63";3;4;4;4;10;10;15;15;19
"64";3;4;4;4;10;10;15;15;19
"65";3;4;4;4;10;10;15;15;19
"66";3;4;4;4;10;10;15;15;19
"67";3;4;4;4;10;10;15;15;19
"68";3;4;4;4;10;10;15;15;19
"69";3;4;4;4;10;10;15;15;18
"70";3;5;6;8;8;13;13;17;17
"71";3;5;6;8;8;13;13;17;17
"72";3;4;4;4;11;11;11;11;11
"73";3;4;4;4;10;10;14;14;14
"74";3;5;6;8;8;13;13;17;17
"75";3;5;6;8;8;13;13;17;17
"76";3;4;4;4;10;10;15;15;19
"77";3;4;4;4;10;10;15;15;19
"78";3;4;4;4;11;11;11;11;11
"79";3;4;4;4;10;10;15;15;19
"80";3;5;6;8;8;13;13;16;16
"81";3;5;6;8;8;13;13;17;17
