"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"y";-0,0262641884070765;0,282936065396473;-0,092429915013768;0,995719192749917;NA;NA;NA;NA;NA;0,170553048842455;NA
"vous";0,991512489930611;0,945961213934664;0,723531386142086;0,690291484278425;NA;NA;NA;NA;NA;0,848122555648068;NA
"devoir";0,197182081076362;0,520437358325583;0,354300472418178;0,935131635249421;NA;NA;NA;NA;NA;0,33643397161833;NA
"s";0,199896809184519;-0,739636817289988;0,260902902905479;-0,965365047666164;NA;NA;NA;NA;NA;0,461546998023327;NA
"ces";-0,0773137808379109;0,0417241298447022;-0,880025825092399;0,474925833336578;NA;NA;NA;NA;NA;0,0551545327359137;NA
"se";0,02662612723617;-0,558212834679881;0,0476447109657539;-0,998864345903381;NA;NA;NA;NA;NA;0,335300409491065;NA
"vouloir";0,491866908705458;-0,84890319800461;0,501339026296851;-0,865250935111731;NA;NA;NA;NA;NA;0,597587286277756;NA
"sur";-0,139719266165304;-0,504927675979353;-0,266689636937632;-0,963782463811245;NA;NA;NA;NA;NA;0,315660259498467;NA
"elles";-0,859459021950754;0,248679636401091;-0,960597433396957;0,277943467185645;NA;NA;NA;NA;NA;0,566352758821494;NA
"elle";-0,00601177103649025;0,261730664831656;-0,0229632465717125;0,999736309887206;NA;NA;NA;NA;NA;0,157059216795728;NA
"tout";0,428662111692187;0,0685263522428459;0,987462036403223;0,15785666492866;NA;NA;NA;NA;NA;0,275580549772415;NA
"aux";-0,300138588546349;-0,777336267424845;-0,36019473092267;-0,932877138649857;NA;NA;NA;NA;NA;0,503847660545106;NA
"tous";-0,321149203982417;0,377396119456501;-0,648073006321875;0,761578215600293;NA;NA;NA;NA;NA;0,304852906066191;NA
"toutes";-0,191658930266864;0,456113503342484;-0,387389276052438;0,921916237409651;NA;NA;NA;NA;NA;0,299522556722087;NA
"j";-0,0238493276448429;-0,0563509197857182;-0,389758556706864;-0,920917079586312;NA;NA;NA;NA;NA;0,0370490252285032;NA
"bien";-0,292167926380868;0,299428706611802;-0,698375725863138;0,715731336134681;NA;NA;NA;NA;NA;0,258382208393948;NA
"si";-0,347662546940188;-0,690158445531138;-0,449885916536577;-0,89308603286696;NA;NA;NA;NA;NA;0,469321256094835;NA
"notre";-0,493185918608877;-0,0139408868495611;-0,999600727582578;-0,028255714756161;NA;NA;NA;NA;NA;0,313625924918283;NA
"dire";-0,191658930266864;0,456113503342484;-0,387389276052438;0,921916237409651;NA;NA;NA;NA;NA;0,299522556722087;NA
"comme";-0,813397339199803;0,16418420902719;-0,980230399822019;0,197859453311601;NA;NA;NA;NA;NA;0,526367568585759;NA
"savoir";-0,101299913470391;0,180171121658068;-0,490090913763341;0,871671323519716;NA;NA;NA;NA;NA;0,125813962959058;NA
"où";0,50906930858339;0,193874189627391;0,934522525659766;0,355903988506019;NA;NA;NA;NA;NA;0,343876822475044;NA
"même";-0,935071159767024;-0,533474881110828;-0,86858365472017;-0,495542566035403;NA;NA;NA;NA;NA;0,675094697745121;NA
"là";0,567248655790962;-0,731389600456599;0,612856278254802;-0,790194395198847;NA;NA;NA;NA;NA;0,567927103328515;NA
"aujourd_hui";0,552154670356472;-0,108399596571002;0,981268765991181;-0,192643735662866;NA;NA;NA;NA;NA;0,356973452412404;NA
"non";0,0077893287543239;0,890182726938732;0,00874992328304286;0,999961718688541;NA;NA;NA;NA;NA;0,534045237677609;NA
"falloir";-0,493185918608877;-0,0139408868495611;-0,999600727582578;-0,028255714756161;NA;NA;NA;NA;NA;0,313625924918283;NA
"avec";0,0682470926556594;0,183977529427324;0,347795014587473;0,937570598850081;NA;NA;NA;NA;NA;0,118589127978393;NA
"votre";1,19111311518473;0,579814361981095;0,89912996317949;0,437681744322114;NA;NA;NA;NA;NA;0,833252839692084;NA
