"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"classe 1";0,624890615985223;-1,87837521383294;0,31566647879284;-0,948870209336624;0,110536261540264;0,889463738459737;0,0793871945752726;0,717310431843716;0,203302373581011;1,19480887581681;0,290228013619128
"classe 2";0,783639332760488;0,793073106154946;0,70286344483908;0,711324804789585;0,5229746754005;0,4770253245995;0,273774139177398;0,28040542738607;0,445820433436532;0,688846918555538;0,211546288288849
"classe 3";-1,35775189147535;0,080683339018094;-0,998239043788202;0,0593195706054546;0,99686505411922;0,0031349458807759;0,646838666247329;0,00228414077021358;0,350877192982456;0,864468263411147;0,262212413489503
