"";"V1"
"1";0
"2";2
"3";4
"4";4
"5";4
"6";4
"7";4
"8";0
"9";4
"10";4
"11";4
"12";4
"13";4
"14";4
"15";4
"16";0
"17";4
"18";4
"19";4
"20";4
"21";4
"22";0
"23";4
"24";4
"25";4
"26";0
"27";4
"28";4
"29";4
"30";2
"31";3
"32";4
"33";4
"34";4
"35";3
"36";2
"37";4
"38";4
"39";4
"40";4
"41";3
"42";0
"43";4
"44";0
"45";4
"46";0
"47";4
"48";4
"49";4
"50";4
"51";4
"52";4
"53";4
"54";4
"55";4
"56";4
"57";4
"58";4
"59";4
"60";4
"61";4
"62";4
"63";4
"64";4
"65";4
"66";4
"67";4
"68";4
"69";4
"70";4
"71";4
"72";4
"73";4
"74";4
"75";4
"76";4
"77";4
"78";4
"79";4
"80";4
"81";0
"82";4
"83";4
"84";4
"85";4
"86";4
"87";4
"88";4
"89";4
"90";4
"91";4
"92";2
"93";4
"94";4
"95";4
"96";4
"97";4
"98";4
"99";0
"100";4
"101";4
"102";4
"103";4
"104";4
"105";4
"106";4
"107";4
"108";4
"109";4
"110";0
"111";4
"112";4
"113";4
"114";4
"115";4
"116";0
"117";4
"118";4
"119";4
"120";4
"121";4
"122";1
"123";4
"124";4
"125";4
"126";4
"127";0
"128";4
"129";4
"130";4
"131";4
"132";4
"133";0
"134";0
"135";4
"136";4
"137";4
"138";4
"139";4
"140";0
"141";4
"142";4
"143";0
"144";4
"145";1
"146";0
"147";4
"148";4
"149";4
"150";4
"151";1
"152";4
"153";4
"154";4
"155";4
"156";4
"157";4
"158";4
"159";4
"160";4
"161";4
"162";4
"163";4
"164";4
"165";4
"166";4
"167";4
"168";4
"169";4
"170";4
"171";4
"172";4
"173";4
"174";4
"175";4
"176";4
"177";4
"178";4
"179";4
"180";4
"181";4
"182";4
"183";4
"184";4
"185";4
"186";4
"187";4
"188";4
"189";4
"190";4
"191";4
"192";4
"193";4
"194";4
"195";4
"196";4
"197";4
"198";4
"199";4
"200";4
"201";3
"202";0
"203";4
"204";0
"205";4
"206";1
"207";4
"208";3
"209";4
"210";4
"211";1
"212";4
"213";4
"214";0
"215";0
"216";4
"217";4
"218";4
"219";0
"220";4
"221";4
"222";4
"223";4
"224";4
"225";4
"226";4
"227";4
"228";4
"229";3
"230";0
"231";0
"232";4
"233";4
