"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"5";"208";"2.4";"****";""
"*****";"*";"*";"*";"*";"*"
"2";"144";"1.39";"-2.055";"être";"0.1517119"
"*";"*";"*";"*";"*";"*"
"1";"124";"0.81";"-3.34";"*loc_mitterand";"0.06763222"
"1";"124";"0.81";"-3.34";"*date_1982";"0.06763222"
"**";"classe";"2";"**";"";""
"****";"4";"208";"1.92";"****";""
"*****";"*";"*";"*";"*";"*"
"0";"144";"0";"-9.176";"être";"0.002451463"
"*";"*";"*";"*";"*";"*"
"**";"classe";"3";"**";"";""
"****";"6";"208";"2.88";"****";""
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"**";"classe";"4";"**";"";""
"****";"193";"208";"92.79";"****";""
"0";"4";" 0.00";"-52.476";"choisir";"4.355791e-13"
"0";"4";" 0.00";"-52.476";"partager";"4.355791e-13"
"1";"5";"20.00";"-40.564";"réduire";"1.902829e-10"
"0";"3";" 0.00";"-39.165";"évoquer";"3.894839e-10"
"0";"3";" 0.00";"-39.165";"développer";"3.894839e-10"
"2";"3";"66.67";" -3.104";"établir";"7.810253e-02"
"2";"3";"66.67";" -3.104";"élever";"7.810253e-02"
"2";"3";"66.67";" -3.104";"réserver";"7.810253e-02"
"2";"3";"66.67";" -3.104";"comporter";"7.810253e-02"
"2";"3";"66.67";" -3.104";"arrêter";"7.810253e-02"
"*****";"*";"*";"*";"*";"*"
"87";"97";"89.69";"-2.607";"avoir";"0.1064174"
"*";"*";"*";"*";"*";"*"
