"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";-7,98180142636963;-0,495951891065101;0,211843602104846;-0,997725178296203;-0,0619939863831376;0,0264804502631057;0,996126502178179;0,00339996051631247;0,000473537305508917;0,980140830923018;0,00378412735770846;0,000690426334657787;0,0153846153846154;6,70394263368236;0,691428412856984
"classe 2";0,26615215438717;0,554068931412768;6,60470821838165;0,0401239469657722;0,0835290342495142;0,995697227734029;0,0023786039071757;0,00911322029738318;0,988508175795441;0,00157415487299849;0,00682205290570859;0,969381569999071;0,0222222222222222;4,57462542752932;0,46504884004884
"classe 3";0,563175567702165;-6,87536819044068;0,402672976272117;0,0814999078220858;-0,994968364927637;0,0582727879736044;0,00751281674676349;0,989895207161739;0,00259197609149665;0,00650598400116216;0,969655133417918;0,00332606206809939;0,0205128205128205;5,44664444153596;0,608532013795172
"classe 4";0,111829633426257;0,144764227216893;-0,168057849316099;0,450187303132238;0,582770550560476;-0,676542591045059;0,249652534956303;0,369851007545334;0,380496457498366;0,011779030202821;0,0197386863186651;0,0266019415981723;0,941880341880342;0,18761844355958;0,0331548288554006
