"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,408780462457266;29,2184663808846;29,2184663808846
"facteur 2";0,378866374566412;27,0802923446313;56,2987587255159
"facteur 3";0,323727391103024;23,139114420137;79,4378731456529
"facteur 4";0,28767408990788;20,5621268543471;100
