être;11;77;7;3;69
avoir;7;46;4;3;47
ne;2;32;2;0;24
faire;3;23;2;0;21
pas;2;22;3;0;18
plus;0;16;1;1;18
pouvoir;0;16;3;1;18
aussi;3;12;1;1;15
devoir;1;13;0;1;15
vouloir;1;6;1;1;14
bien;0;11;0;3;5
dire;1;7;1;1;8
savoir;1;7;1;0;8
là;1;2;2;0;11
aujourd_hui;2;5;1;0;9
falloir;0;10;1;0;3
souvent;1;5;1;0;4
alors;0;4;0;0;6
toujours;2;2;0;0;5
ainsi;0;2;0;0;7
surtout;0;2;1;0;5
ici;0;5;0;1;2
encore;0;1;0;0;6
mme;0;3;0;0;3
beaucoup;0;1;0;0;6
madame;0;3;0;0;2
enfin;1;5;0;0;0
d_abord;2;1;0;0;3
trop;0;2;1;0;1
très;0;2;0;0;2
tant;1;1;0;0;2
monsieur;0;3;0;0;1
maintenant;0;2;0;1;1
c_est_à_dire;0;1;0;0;3
an;0;4;0;0;0
point;0;3;0;0;0
peu;0;0;0;1;2
partout;0;1;0;0;2
parfois;1;2;0;0;0
fort;0;1;0;0;2
eh;0;1;0;0;2
davantage;0;0;1;0;2
bon;0;1;0;0;2
autant;0;2;0;0;1
