"";"V1"
"1";3
"2";5
"3";5
"4";4
"5";2
"6";2
"7";5
"8";5
"9";5
"10";2
"11";2
"12";2
"13";2
"14";2
"15";4
"16";2
"17";2
"18";2
"19";5
"20";2
"21";2
"22";2
"23";2
"24";5
"25";2
"26";5
"27";5
"28";2
"29";2
"30";5
"31";5
"32";5
"33";5
"34";5
"35";5
"36";5
"37";5
"38";5
"39";5
"40";5
"41";2
"42";2
"43";5
"44";5
"45";5
"46";2
"47";5
"48";5
"49";5
"50";2
"51";2
"52";3
"53";5
"54";2
"55";2
"56";2
"57";5
"58";5
"59";5
"60";5
"61";5
"62";2
"63";2
"64";2
"65";2
"66";2
"67";2
"68";2
"69";2
"70";5
"71";5
"72";2
"73";2
"74";5
"75";5
"76";2
"77";2
"78";2
"79";2
"80";5
"81";5
"82";2
"83";2
"84";5
"85";2
"86";2
"87";5
"88";2
"89";5
"90";2
"91";2
"92";2
"93";2
"94";2
"95";2
"96";2
"97";5
"98";2
"99";2
"100";2
"101";4
"102";5
"103";2
"104";2
"105";2
"106";2
"107";2
"108";2
"109";2
"110";2
"111";2
"112";2
"113";1
"114";2
"115";5
"116";2
"117";2
"118";2
"119";2
"120";2
"121";2
"122";2
"123";2
"124";5
"125";2
"126";2
"127";2
"128";2
"129";2
"130";2
"131";5
"132";2
"133";2
"134";0
"135";5
"136";5
"137";4
"138";2
"139";5
"140";1
"141";1
"142";5
"143";2
"144";2
"145";1
"146";1
"147";2
"148";5
"149";5
"150";2
"151";1
"152";5
"153";5
"154";2
"155";5
"156";5
"157";5
"158";5
"159";5
"160";5
"161";5
"162";5
"163";2
"164";2
"165";2
"166";2
"167";2
"168";5
"169";2
"170";5
"171";5
"172";3
"173";5
"174";5
"175";2
"176";5
"177";5
"178";5
"179";5
"180";5
"181";5
"182";2
"183";1
"184";5
"185";2
"186";3
"187";3
"188";3
"189";3
"190";5
"191";5
"192";5
"193";2
"194";2
"195";2
"196";5
"197";5
"198";5
"199";5
"200";5
"201";5
"202";5
"203";5
"204";1
"205";1
"206";1
"207";1
"208";5
"209";5
"210";2
"211";1
"212";5
"213";5
"214";5
"215";5
"216";3
"217";2
"218";5
"219";5
"220";5
"221";5
"222";1
"223";5
"224";3
"225";2
"226";1
"227";5
"228";5
"229";2
"230";5
"231";5
"232";5
"233";5
