"";"newcol";"newcol";"newcol";"newcol"
"1";2;5;6;6
"2";2;5;7;9
"3";2;5;7;9
"4";2;5;7;8
"5";2;4;4;4
"6";2;4;4;4
"7";2;5;7;9
"8";2;5;7;9
"9";2;5;7;9
"10";2;4;4;4
"11";2;4;4;4
"12";2;4;4;4
"13";2;4;4;4
"14";2;4;4;4
"15";2;5;7;8
"16";2;4;4;4
"17";2;4;4;4
"18";2;4;4;4
"19";2;5;7;9
"20";2;4;4;4
"21";2;4;4;4
"22";2;4;4;4
"23";2;4;4;4
"24";2;5;7;9
"25";2;4;4;4
"26";2;5;7;9
"27";2;5;7;9
"28";2;4;4;4
"29";2;4;4;4
"30";2;5;7;9
"31";2;5;7;9
"32";2;5;7;9
"33";2;5;7;9
"34";2;5;7;9
"35";2;5;7;9
"36";2;5;7;9
"37";2;5;7;9
"38";2;5;7;9
"39";2;5;7;9
"40";2;5;7;9
"41";2;4;4;4
"42";2;4;4;4
"43";2;5;7;9
"44";2;5;7;9
"45";2;5;7;9
"46";2;4;4;4
"47";2;5;7;9
"48";2;5;7;9
"49";2;5;7;9
"50";2;4;4;4
"51";2;4;4;4
"52";2;5;6;6
"53";2;5;7;9
"54";2;4;4;4
"55";2;4;4;4
"56";2;4;4;4
"57";2;5;7;9
"58";2;5;7;9
"59";2;5;7;9
"60";2;5;7;9
"61";2;5;7;9
"62";2;4;4;4
"63";2;4;4;4
"64";2;4;4;4
"65";2;4;4;4
"66";2;4;4;4
"67";2;4;4;4
"68";2;4;4;4
"69";2;4;4;4
"70";2;5;7;9
"71";2;5;7;9
"72";2;4;4;4
"73";2;4;4;4
"74";2;5;7;9
"75";2;5;7;9
"76";2;4;4;4
"77";2;4;4;4
"78";2;4;4;4
"79";2;4;4;4
"80";2;5;7;9
"81";2;5;7;9
"82";2;4;4;4
"83";2;4;4;4
"84";2;5;7;9
"85";2;4;4;4
"86";2;4;4;4
"87";2;5;7;9
"88";2;4;4;4
"89";2;5;7;9
"90";2;4;4;4
"91";2;4;4;4
"92";2;4;4;4
"93";2;4;4;4
"94";2;4;4;4
"95";2;4;4;4
"96";2;4;4;4
"97";2;5;7;9
"98";2;4;4;4
"99";2;4;4;4
"100";2;4;4;4
"101";2;5;7;8
"102";2;5;7;9
"103";2;4;4;4
"104";2;4;4;4
"105";2;4;4;4
"106";2;4;4;4
"107";2;4;4;4
"108";2;4;4;4
"109";2;4;4;4
"110";2;4;4;4
"111";2;4;4;4
"112";2;4;4;4
"113";3;3;3;3
"114";2;4;4;4
"115";2;5;7;9
"116";2;4;4;4
"117";2;4;4;4
"118";2;4;4;4
"119";2;4;4;4
"120";2;4;4;4
"121";2;4;4;4
"122";2;4;4;4
"123";2;4;4;4
"124";2;5;7;9
"125";2;4;4;4
"126";2;4;4;4
"127";2;4;4;4
"128";2;4;4;4
"129";2;4;4;4
"130";2;4;4;4
"131";2;5;7;9
"132";2;4;4;4
"133";2;4;4;4
"134";0;0;0;0
"135";2;5;7;9
"136";2;5;7;9
"137";2;5;7;8
"138";2;4;4;4
"139";2;5;7;9
"140";3;3;3;3
"141";3;3;3;3
"142";2;5;7;9
"143";2;4;4;4
"144";2;4;4;4
"145";3;3;3;3
"146";3;3;3;3
"147";2;4;4;4
"148";2;5;7;9
"149";2;5;7;9
"150";2;4;4;4
"151";3;3;3;3
"152";2;5;7;9
"153";2;5;7;9
"154";2;4;4;4
"155";2;5;7;9
"156";2;5;7;9
"157";2;5;7;9
"158";2;5;7;9
"159";2;5;7;9
"160";2;5;7;9
"161";2;5;7;9
"162";2;5;7;9
"163";2;4;4;4
"164";2;4;4;4
"165";2;4;4;4
"166";2;4;4;4
"167";2;4;4;4
"168";2;5;7;9
"169";2;4;4;4
"170";2;5;7;9
"171";2;5;7;9
"172";2;5;6;6
"173";2;5;7;9
"174";2;5;7;9
"175";2;4;4;4
"176";2;5;7;9
"177";2;5;7;9
"178";2;5;7;9
"179";2;5;7;9
"180";2;5;7;9
"181";2;5;7;9
"182";2;4;4;4
"183";3;3;3;3
"184";2;5;7;9
"185";2;4;4;4
"186";2;5;6;6
"187";2;5;6;6
"188";2;5;6;6
"189";2;5;6;6
"190";2;5;7;9
"191";2;5;7;9
"192";2;5;7;9
"193";2;4;4;4
"194";2;4;4;4
"195";2;4;4;4
"196";2;5;7;9
"197";2;5;7;9
"198";2;5;7;9
"199";2;5;7;9
"200";2;5;7;9
"201";2;5;7;9
"202";2;5;7;9
"203";2;5;7;9
"204";3;3;3;3
"205";3;3;3;3
"206";3;3;3;3
"207";3;3;3;3
"208";2;5;7;9
"209";2;5;7;9
"210";2;4;4;4
"211";3;3;3;3
"212";2;5;7;9
"213";2;5;7;9
"214";2;5;7;9
"215";2;5;7;9
"216";2;5;6;6
"217";2;4;4;4
"218";2;5;7;9
"219";2;5;7;9
"220";2;5;7;9
"221";2;5;7;9
"222";3;3;3;3
"223";2;5;7;9
"224";2;5;6;6
"225";2;4;4;4
"226";3;3;3;3
"227";2;5;7;9
"228";2;5;7;9
"229";2;4;4;4
"230";2;5;7;9
"231";2;5;7;9
"232";2;5;7;9
"233";2;5;7;9
