"";"*loc_chirac";"*loc_hollande";"*loc_mitterand"
"pro_per";49;186;314
"aux";29;171;228
"adj";37;107;243
"pre";100;346;694
"ver";71;219;460
"adj_dem";7;26;41
"nom";159;484;977
"art_def";82;265;556
"adv_sup";26;126;236
"adv";17;40;66
"pro_ind";17;44;73
"con";52;144;220
"num";0;9;20
"pro_rel";30;102;148
"pro_dem";16;59;94
"art_ind";27;103;190
"ver_sup";20;81;104
"adj_pos";13;15;50
"nom_sup";1;1;26
"adj_ind";7;15;26
"nr";11;48;26
"ono";3;11;19
"pro_pos";0;0;2
"adj_int";0;0;9
"adj_num";0;2;5
