"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"contre";1,42277863395665;-0,414834544300462;0,960025852078906;-0,279911349073542;0,941768270475106;0,0582317295248937;0,00479954177205291;0,000408013877235936;0,00237096480029181;0,38546067690898;0,000352277792223359
"politique";-0,389012090075127;0,352228532325973;-0,741284298495641;0,671191171577685;0,626449451754619;0,373550548245381;0,000441598850919916;0,000362035204040151;0,00291811052343608;0,129221522725793;4,87271987906551e-05
"où";0,26561521025863;-1,23034117102754;0,211025766178423;-0,977480499042722;0,0602199659430441;0,939780034056956;0,000218744205481035;0,00469333754352214;0,00310049243115083;0,284575469071013;0,000251087791199851
"temps";-3,28322629767263;0,23258398889261;-0,997500246555168;0,0706629897639471;0,99636322728042;0,00363677271957888;0,0255579927015281;0,000128258080350095;0,00237096480029181;0,864782205339207;0,00177312190675314
"dont";-1,88093846634549;-2,44582005246502;-0,609616771661623;-0,792696279610836;0,448467403665644;0,551532596334356;0,00645254334156144;0,0109101508828013;0,00182381907714755;0,738454802349846;0,000994556803052252
"aussi";1,42542131400155;0,275215033866123;0,981866229308919;0,189575071522301;0,973601483947542;0,0263985160524573;0,0133404583634427;0,000497311569427962;0,00656574867773117;0,379810885007328;0,000947150665935035
"simplement";1,56394338216335;-0,810843966730511;0,887775324077659;-0,460277062168872;0,836461831232144;0,163538168767855;0,00490700491131457;0,0013190128254999;0,0020062009848623;0,449585954204787;0,000405508450191595
"vivre";1,87910865487711;-4,20584411971933;0,407922275445997;-0,913016657676605;0,215345357353748;0,784654642646252;0,00643999514286713;0,032261763194196;0,00182381907714755;1,06463051119521;0,0020671860758121
"votre";2,37103720015457;-5,00642023567287;0,428023679380081;-0,903767519824616;0,235694165523968;0,764305834476032;0,0133291311797773;0,0594264392650033;0,00237096480029181;1,2840405059825;0,00390915197392837
"car";0,28913626277504;1,62406879814006;0,175275975473755;0,984519340806327;0,041757199998399;0,958242800001601;0,000167717957863704;0,00529155463651525;0,0020062009848623;0,372007461373713;0,00027763725414825
"liberté";0,0244470824388026;0,369320609959311;0,066050192516266;0,997816301765292;0,00598822402019634;0,994011775979803;1,52603278438347e-06;0,000348270651316805;0,00255334670800657;0,083060165043371;1,76155160019056e-05
"famille";-1,79616261871057;-0,800491373751765;-0,91339645258609;-0,407071149067514;0,87377075462451;0,12622924537549;0,00588400538547005;0,00116867853264816;0,00182381907714755;0,505198059341029;0,000465484368342042
"familial";-1,21687771379941;-0,428278469843696;-0,943283799258931;-0,331987460690365;0,917351519959469;0,0826484800405306;0,00297076510555507;0,000367982295285105;0,0020062009848623;0,334036417406266;0,000223852564233037
"ensemble";0,682276846226185;-2,52228364482572;0,261115369309866;-0,96530760066943;0,0914037249452692;0,90859627505473;0,00127348630739472;0,0174044723279829;0,00273572861572132;0,593326106901867;0,000963074600942893
"penser";2,21821204541678;2,37547059513368;0,682500122548311;0,730885478526931;0,54521766116737;0,45478233883263;0,00897403734895514;0,0102915567177545;0,00182381907714755;0,789828632935406;0,00113775172242315
"loi";0,126248865718185;-0,857839068022294;0,145602431961783;-0,989343182018663;0,0289173858576924;0,971082614142307;5,81388878173562e-05;0,00268425265958547;0,00364763815429509;0,195192327230248;0,000138975176398176
"donc";2,21821204541678;2,37547059513368;0,682500122548311;0,730885478526931;0,54521766116737;0,45478233883263;0,00897403734895514;0,0102915567177545;0,00182381907714755;0,789828632935406;0,00113775172242315
"violence";3,22267729778637;-4,28712072267653;0,60087513122923;-0,799342903058666;0,437220210811339;0,562779789188661;0,0303064715394277;0,053633132491855;0,00291811052343608;1,28139043316795;0,00479142496360194
"pays";1,62877222294292;2,14587560160785;0,604590633875727;0,796536355372275;0,44199039005726;0,55800960994274;0,00774145235595232;0,0134372630970662;0,00291811052343608;0,644122860676114;0,00121070730518499
"france";3,97141767123649;3,05836852459512;0,792293000267122;0,610140804837476;0,698641541981689;0,30135845801831;0,0373952321999494;0,0221770991098019;0,00237096480029181;1,24920333003575;0,00369991181416035
"fille";4,43467825592071;0,551636104714912;0,99235202293445;0,123440117376423;0,988870870562463;0,0111291294375365;0,0430414836407864;0,000665991009356283;0,00218858289257706;1,17248446363045;0,0030086882745682
