"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"4";"221";"1.81";"****";""
"0";"112";"0";"-4.186";"femme";"0.04076268"
"*****";"*";"*";"*";"*";"*"
"0";"102";"0";"-3.492";"avoir";"0.06167458"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"15";"221";"6.79";"****";""
"0";"49";"0";"-4.584";"droit";"0.03226398"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"3";"131";"2.29";"-10.284";"*loc_mitterand";"0.001342234"
"3";"131";"2.29";"-10.284";"*date_1982";"0.001342234"
"**";"classe";"3";"**";"";""
"****";"4";"221";"1.81";"****";""
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"0";"131";"0";"-5.93";"*loc_mitterand";"0.01488909"
"0";"131";"0";"-5.93";"*date_1982";"0.01488909"
"**";"classe";"4";"**";"";""
"****";"170";"221";"76.92";"****";""
"0";" 7";" 0.00";"-24.097";"victime";"9.162320e-07"
"3";"12";"25.00";"-19.271";"violence";"1.133915e-05"
"0";" 5";" 0.00";"-17.052";"exigence";"3.636107e-05"
"0";" 5";" 0.00";"-17.052";"projet";"3.636107e-05"
"0";" 5";" 0.00";"-17.052";"statut";"3.636107e-05"
"0";" 5";" 0.00";"-17.052";"essentiel";"3.636107e-05"
"0";" 4";" 0.00";"-13.579";"acte";"2.287168e-04"
"0";" 4";" 0.00";"-13.579";"chemin";"2.287168e-04"
"1";" 6";"16.67";"-12.615";"autonomie";"3.827244e-04"
"0";" 3";" 0.00";"-10.138";"versement";"1.452740e-03"
"3";" 9";"33.33";"-10.042";"problème";"1.529864e-03"
"3";" 8";"37.50";" -7.267";"dignité";"7.022387e-03"
"8";"16";"50.00";" -7.043";"loi";"7.956443e-03"
"1";" 4";"25.00";" -6.187";"étape";"1.286935e-02"
"1";" 4";"25.00";" -6.187";"objet";"1.286935e-02"
"1";" 4";"25.00";" -6.187";"disposition";"1.286935e-02"
"2";" 5";"40.00";" -3.929";"objectif";"4.746329e-02"
"2";" 5";"40.00";" -3.929";"jour";"4.746329e-02"
"1";" 3";"33.33";" -3.255";"décision";"7.119288e-02"
"1";" 3";"33.33";" -3.255";"valeur";"7.119288e-02"
"1";" 3";"33.33";" -3.255";"règle";"7.119288e-02"
"1";" 3";"33.33";" -3.255";"initiative";"7.119288e-02"
"1";" 3";"33.33";" -3.255";"guerre";"7.119288e-02"
"1";" 3";"33.33";" -3.255";"conseil";"7.119288e-02"
"1";" 3";"33.33";" -3.255";"agriculteur";"7.119288e-02"
"3";" 6";"50.00";" -2.518";"réforme";"1.125267e-01"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"12";"21";"57.14";"-5.115";"*loc_chirac";"0.02372573"
"12";"21";"57.14";"-5.115";"*date_2006";"0.02372573"
"**";"classe";"5";"**";"";""
"****";"28";"221";"12.67";"****";""
"4";"112";"3.57";"-16.989";"femme";"3.759595e-05"
"1";" 49";"2.04";" -6.428";"droit";"1.123096e-02"
"0";" 16";"0.00";" -2.502";"homme";"1.136720e-01"
"0";" 15";"0.00";" -2.335";"politique";"1.265255e-01"
"0";" 13";"0.00";" -2.004";"pays";"1.568965e-01"
"0";" 13";"0.00";" -2.004";"enfant";"1.568965e-01"
"0";" 13";"0.00";" -2.004";"travail";"1.568965e-01"
"0";" 13";"0.00";" -2.004";"action";"1.568965e-01"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"4";"69";"5.8";"-4.283";"*loc_hollande";"0.03850456"
"4";"69";"5.8";"-4.283";"*date_2017";"0.03850456"
