%%MatrixMarket matrix coordinate integer general
233 160 1020
2 1 1
3 1 1
5 1 1
7 1 1
8 1 1
10 1 1
13 1 1
14 1 1
15 1 1
17 1 1
18 1 1
19 1 1
20 1 1
21 1 1
22 1 1
25 1 1
26 1 1
27 1 1
29 1 1
31 1 1
32 1 1
36 1 1
37 1 1
39 1 1
40 1 1
49 1 1
50 1 1
57 1 1
59 1 1
60 1 1
63 1 1
66 1 1
67 1 1
68 1 1
70 1 1
73 1 1
74 1 1
76 1 1
79 1 1
82 1 1
83 1 1
84 1 1
86 1 1
96 1 1
98 1 1
99 1 1
101 1 1
103 1 1
106 1 1
107 1 1
108 1 1
110 1 1
112 1 1
121 1 1
122 1 1
124 1 1
126 1 1
127 1 1
128 1 1
129 1 1
136 1 1
144 1 1
152 1 1
153 1 1
159 1 1
160 1 1
162 1 1
163 1 1
164 1 1
165 1 1
166 1 1
171 1 1
173 1 1
174 1 1
176 1 1
180 1 1
181 1 1
182 1 1
183 1 1
184 1 1
188 1 1
189 1 1
190 1 1
191 1 1
192 1 1
193 1 1
195 1 1
197 1 1
198 1 1
199 1 1
202 1 1
203 1 1
204 1 1
205 1 1
206 1 1
207 1 1
208 1 1
209 1 1
210 1 1
215 1 1
217 1 1
218 1 1
219 1 1
220 1 1
221 1 1
223 1 1
225 1 1
226 1 1
227 1 1
229 1 1
230 1 1
233 1 1
3 2 1
5 2 1
7 2 1
8 2 1
10 2 1
14 2 1
17 2 1
19 2 1
20 2 1
22 2 1
23 2 1
25 2 1
36 2 1
49 2 1
57 2 1
60 2 1
63 2 1
83 2 1
87 2 1
90 2 1
92 2 1
96 2 1
98 2 1
114 2 1
118 2 1
122 2 1
123 2 1
124 2 1
129 2 1
152 2 1
153 2 1
154 2 1
157 2 1
162 2 1
163 2 1
173 2 1
174 2 1
177 2 1
187 2 1
191 2 1
193 2 1
198 2 1
215 2 1
218 2 1
219 2 1
228 2 1
229 2 1
230 2 1
233 2 1
13 3 1
62 3 1
65 3 1
66 3 1
67 3 1
78 3 1
79 3 1
85 3 1
93 3 1
100 3 1
119 3 1
122 3 1
143 3 1
144 3 1
165 3 1
166 3 1
168 3 1
169 3 1
63 4 1
64 4 1
69 4 1
76 4 1
79 4 1
91 4 1
116 4 1
119 4 1
143 4 1
155 4 1
165 4 1
175 4 1
176 4 1
181 4 1
185 4 1
222 4 1
17 5 1
29 5 1
50 5 1
65 5 1
79 5 1
94 5 1
100 5 1
112 5 1
145 5 1
146 5 1
153 5 1
193 5 1
194 5 1
17 6 1
31 6 1
