"";"";"";"";"monsieur";""
"1";"monsieur";"-0.0621223602630701";"0.13371267623303";"1.46837180286962";"4"
"2";"point";"-0.0621223602630701";"0.13371267623303";"1.25564566437929";"5"
"3";"an";"-0.0880792143181795";"0.107608935883237";"1.01409856519027";"6"
"4";"madame";"-0.0828878435071576";"0.112829683953196";"0.8";"7"
