"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"femme";-0,122268426698213;0,102367920237737;-0,218844066944047;-0,343713315901721;-0,279431218227534;0,233950770709215;-0,500144361708198;-0,785519476916989;0,0943455355529595;0,058198047734226;0,259082079748732;0,588374336964078;0,00171904685290831;0,00120499938655603;0,00550717173644804;0,0135847540812665;0,114989733059548;0,290085418992489;0,00967633432746344
"droit";-0,0642412871247119;0,131581758653454;0,0876934509359249;-0,669629774773194;-0,0929633327781989;0,190411484027322;0,126900873670215;-0,969018809812802;0,0108655149477459;0,0401144802368753;0,0173552663104482;0,931664738504934;0,000207618280904049;0,000871020740561042;0,000386875693547764;0,0225583138889909;0,0503080082135524;0,449118898209576;0,0101475168908832
"égalité";-0,0851951194231674;0,110509351477658;0,561429836750229;0,154204898051714;-0,142297910549178;0,184579233151932;0,93773320855043;0,257562110808438;0,0236455385507476;0,0350111026294368;0,88020913319842;0,0611342256213984;0,000134135267683264;0,000225689632189143;0,00582511530665399;0,000439450421454322;0,0184804928131417;0,403749840648546;0,00301257783247133
"loi";-0,160474132356975;-0,161591925222985;0,822438295682612;1,22240398232943;-0,107641620993949;-0,108391405611978;0,551668920183631;0,819954868954799;0,0142451964606601;0,0127111730473041;0,320730405892166;0,652313224599868;0,000423029932742896;0,000428943742049621;0,0111113716666172;0,0245465543493197;0,0164271047227926;0,979812707269086;0,0157705616644924
"vie";-0,200391613812244;-0,488775996721067;-0,381077906074088;0,0272964914118839;-0,307377937122845;-0,749726771141479;-0,58453015285308;0,0418697123160932;0,106953036730376;0,559940298648774;0,331540577236775;0,0015660873840749;0,000535973701767538;0,00318863005607674;0,00193825956516586;9,94484575378609e-06;0,013347022587269;0,446534722911263;0,00266130632849147
"homme";-0,0621223602630702;0,133712676233029;0,039787524280546;-0,752938898991442;-0,0808600963135911;0,174043932535161;0,0517884869760306;-0,98004505355039;0,0082401150271205;0,0335946786373003;0,00289738579250606;0,955267820543074;6,33952795836498e-05;0,000293701515981912;2,60048803018486e-05;0,00931280469181838;0,0164271047227926;0,498716300834401;0,00408571579002791
"violence";-0,697249690232628;-2,8617639938935;-2,89220285099088;1,51990347171444;-0,158503527949303;-0,650555598008326;-0,657475165423364;0,345514764343253;0,029134837487687;0,431908270604081;0,429703166585401;0,109253725322832;0,00598961557120528;0,100899710350045;0,103057544122544;0,0284612718274697;0,0123203285420945;2,97683170747895;0,109176924205158
"politique";-0,0621223602630702;0,133712676233029;0,039787524280546;-0,752938898991442;-0,0808600963135911;0,174043932535161;0,0517884869760306;-0,98004505355039;0,0082401150271205;0,0335946786373003;0,00289738579250606;0,955267820543074;5,94330746096717e-05;0,000275345171233042;2,43795752829831e-05;0,00873075439857973;0,0154004106776181;0,498716300834401;0,00383035855315116
"pays";-0,0621223602630702;0,133712676233029;0,0397875242805461;-0,752938898991441;-0,0808600963135911;0,174043932535161;0,0517884869760308;-0,98004505355039;0,0082401150271205;0,0335946786373003;0,00289738579250607;0,955267820543074;5,15086646617154e-05;0,000238632481735304;2,11289652452521e-05;0,00756665381210243;0,013347022587269;0,498716300834401;0,00331964407939767
"ministre";-0,096731499003216;0,0989076890999731;0,822250992985069;0,607776796573291;-0,0937494574335268;0,0958585598763248;0,796902614565769;0,589040235151724;0,0105250694576983;0,00968360787479552;0,65188811377447;0,327903208893038;0,000115281103483481;0,000120526459504274;0,00832973341435235;0,00455103861748943;0,0123203285420945;0,687112240791317;0,00581671332376097
"enfant";-0,0621223602630702;0,133712676233029;0,0397875242805461;-0,752938898991441;-0,0808600963135911;0,174043932535161;0,0517884869760308;-0,98004505355039;0,0082401150271205;0,0335946786373003;0,00289738579250607;0,955267820543074;5,15086646617154e-05;0,000238632481735304;2,11289652452521e-05;0,00756665381210243;0,013347022587269;0,498716300834401;0,00331964407939767
"combat";-0,0621223602630702;0,133712676233029;0,0397875242805459;-0,752938898991442;-0,0808600963135911;0,174043932535161;0,0517884869760305;-0,98004505355039;0,0082401150271205;0,0335946786373003;0,00289738579250605;0,955267820543074;4,35842547137592e-05;0,000201919792237565;1,78783552075209e-05;0,00640255322562514;0,0112936344969199;0,498716300834401;0,00280892960564418
"société";-0,0695386042788157;0,126254464704517;0,207458267574372;-0,46135696422757;-0,132205300577805;0,240032276009248;0,394415201548358;-0,877121949195504;0,0216136607991283;0,0626985983436499;0,164897093337278;0,750790647519945;6,95057954729365e-05;0,000229119772083715;0,000618629424013797;0,00305944915624016;0,0143737166324435;0,344694264274619;0,00170780072026026
"liberté";-0,113790324267143;1,00333186519704;-0,581061510696012;-0,281191482590414;-0,0949465297997536;0,837179078726648;-0,484837128254139;-0,23462588452186;0,0103532480340126;0,708342189263593;0,23141168288624;0,0498928798161548;0,000159526544930039;0,0124025646618452;0,0041597430703778;0,000974151743918626;0,0123203285420945;0,814965602291859;0,00818277946101355
"travail";-0,0621223602630702;0,133712676233029;0,0397875242805461;-0,752938898991441;-0,0808600963135911;0,174043932535161;0,0517884869760308;-0,98004505355039;0,0082401150271205;0,0335946786373003;0,00289738579250607;0,955267820543074;5,15086646617154e-05;0,000238632481735304;2,11289652452521e-05;0,00756665381210243;0,013347022587269;0,498716300834401;0,00331964407939767
"temps";1,349009038587;0,0332387194218768;-0,12544687498035;-0,534128801842106;0,926075067634152;0,0228178970312377;-0,0861174535595433;-0,366671647218452;0,88365443435528;0,000472094846089209;0,00655009427113857;0,109323376527492;0,0186840388725814;1,13430438275796e-05;0,000161570004541432;0,00292909216588587;0,0102669404517454;1,04579336423777;0,0112287860439811
