"";"newcol";"newcol";"newcol";"newcol"
"1";2;5;6;8
"2";2;5;6;8
"3";2;5;6;8
"4";2;0;0;0
"5";2;5;6;8
"6";2;5;6;9
"7";2;5;6;8
"8";2;5;6;8
"9";2;5;6;9
"10";2;5;6;8
"11";0;0;0;0
"12";2;5;6;8
"13";2;5;6;9
"14";2;5;6;8
"15";2;5;6;8
"16";2;5;6;8
"17";2;5;6;8
"18";2;5;6;8
"19";2;5;6;8
"20";2;5;6;8
"21";2;5;6;9
"22";2;5;6;8
"23";2;5;6;8
"24";2;5;6;8
"25";2;5;6;8
"26";2;5;6;8
"27";2;5;6;8
"28";2;5;6;8
"29";2;5;6;8
"30";2;5;6;8
"31";2;5;6;8
"32";2;5;6;8
"33";2;5;6;8
"34";2;5;6;8
"35";2;5;6;8
"36";2;5;6;8
"37";2;5;6;8
"38";2;5;6;8
"39";2;5;6;8
"40";2;5;6;8
"41";2;5;6;8
"42";2;5;6;8
"43";2;5;6;8
"44";2;5;6;8
"45";2;5;6;8
"46";2;5;6;8
"47";2;5;6;8
"48";2;5;6;8
"49";2;5;6;8
"50";2;5;6;8
"51";2;5;6;9
"52";3;3;3;3
"53";2;5;6;8
"54";3;3;3;3
"55";2;5;6;8
"56";3;3;3;3
"57";2;5;6;8
"58";2;5;6;8
"59";2;5;6;8
"60";2;5;6;8
"61";2;0;0;0
"62";2;5;6;9
"63";2;5;6;8
"64";2;5;6;9
"65";2;5;6;8
"66";2;5;6;8
"67";2;5;6;8
"68";2;5;6;8
"69";2;5;6;9
"70";2;5;6;8
"71";2;5;6;8
"72";2;4;4;4
"73";2;5;6;8
"74";2;5;6;8
"75";2;5;6;8
"76";2;5;6;8
"77";2;5;6;9
"78";2;5;6;8
"79";2;5;6;8
"80";2;5;6;8
"81";2;5;6;8
"82";2;5;6;8
"83";2;5;6;8
"84";2;5;6;8
"85";2;5;6;8
"86";2;5;6;8
"87";2;5;6;8
"88";2;5;6;9
"89";2;5;6;9
"90";2;5;6;8
"91";2;5;6;9
"92";2;5;6;9
"93";2;5;6;8
"94";2;5;6;9
"95";2;5;6;8
"96";2;5;6;8
"97";0;0;0;0
"98";2;5;6;8
"99";2;5;6;9
"100";2;5;6;8
"101";2;5;6;8
"102";2;0;0;0
"103";2;5;6;8
"104";2;5;6;8
"105";2;5;6;9
"106";2;5;6;8
"107";2;5;6;8
"108";2;5;6;8
"109";2;5;6;9
"110";2;5;6;8
"111";2;4;4;4
"112";2;5;6;8
"113";2;4;4;4
"114";2;5;6;8
"115";2;5;6;8
"116";2;5;6;8
"117";2;5;6;9
"118";2;5;6;8
"119";2;5;6;9
"120";2;5;6;8
"121";2;5;6;8
"122";2;5;6;8
"123";2;5;6;8
"124";2;5;6;8
"125";2;5;6;9
"126";2;5;6;8
"127";2;5;6;8
"128";2;5;6;8
"129";2;5;6;8
"130";2;5;6;9
"131";2;0;0;0
"132";3;3;3;3
"133";2;5;6;8
"134";0;0;0;0
"135";2;5;6;9
"136";2;5;6;8
"137";0;0;0;0
"138";2;5;6;8
"139";2;5;6;8
"140";2;5;6;9
"141";2;4;4;4
"142";2;4;4;4
"143";2;5;6;9
"144";2;5;6;8
"145";2;4;4;4
"146";2;4;4;4
"147";2;4;4;4
"148";2;5;6;8
"149";2;5;6;8
"150";2;5;6;8
"151";0;0;0;0
"152";2;5;6;8
"153";2;5;6;8
"154";2;5;6;8
"155";2;5;6;8
"156";2;5;6;8
"157";2;5;6;8
"158";2;5;6;8
"159";2;5;7;7
"160";2;5;7;7
"161";2;5;6;8
"162";2;5;6;8
"163";2;5;6;8
"164";2;5;6;8
"165";2;5;6;8
"166";2;5;6;8
"167";2;5;6;8
"168";2;5;6;8
"169";2;5;6;8
"170";2;5;6;8
"171";2;5;6;8
"172";2;0;0;0
"173";2;5;6;8
"174";2;5;6;8
"175";2;5;6;9
"176";2;5;6;8
"177";2;5;6;8
"178";2;5;6;8
"179";2;5;6;8
"180";2;5;6;8
"181";2;5;6;8
"182";2;4;4;4
"183";2;4;4;4
"184";2;5;6;8
"185";2;5;6;9
"186";2;5;6;9
"187";2;5;6;8
"188";2;5;6;8
"189";2;5;6;8
"190";2;5;6;8
"191";2;5;6;8
"192";2;5;6;8
"193";2;5;6;8
"194";2;5;6;8
"195";2;5;6;9
"196";2;5;6;8
"197";2;5;6;8
"198";2;5;6;8
"199";2;5;6;8
"200";2;5;6;8
"201";2;5;6;8
"202";2;5;6;8
"203";2;5;6;8
"204";2;4;4;4
"205";2;4;4;4
"206";2;5;6;8
"207";2;5;6;8
"208";2;5;6;8
"209";2;4;4;4
"210";2;5;6;8
"211";0;0;0;0
"212";2;5;6;8
"213";2;5;7;7
"214";2;5;6;8
"215";2;5;6;8
"216";2;5;6;8
"217";2;5;6;8
"218";2;5;6;8
"219";2;5;6;8
"220";2;5;6;8
"221";2;5;6;8
"222";2;4;4;4
"223";2;5;6;8
"224";2;0;0;0
"225";2;5;6;8
"226";2;4;4;4
"227";2;5;6;8
"228";2;5;6;8
"229";2;5;6;8
"230";2;5;6;8
"231";2;5;6;8
"232";2;5;7;7
"233";2;5;6;8
