"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,531061118415438;28,3578319984885;28,3578319984885
"facteur 2";0,4673394637084;24,9551954352251;53,3130274337136
"facteur 3";0,455218203077174;24,3079391013105;77,6209665350241
"facteur 4";0,41909531524131;22,3790334649759;100
