"";"X.loc_chirac";"X.loc_hollande";"X.loc_mitterand"
"pro_per";-1;1;-1
"aux";-2;4;-2
"adj";1;-2;1
"pre";-1;-1;1
"ver";1;-1;1
"adj_dem";1;1;-1
"nom";1;-2;1
"art_def";-1;-1;2
"adv_sup";-2;1;1
"adv";2;1;-1
"pro_ind";1;1;-1
"con";2;1;-2
"num";-2;-1;1
"pro_rel";1;2;-2
"pro_dem";1;1;-1
"art_ind";-1;1;1
"ver_sup";1;2;-2
"adj_pos";2;-2;1
"nom_sup";-1;-3;4
"adj_ind";1;-1;-1
"nr";1;7;-7
"ono";-1;1;-1
"pro_pos";-1;-1;1
"adj_int";-1;-2;2
"adj_num";-1;-1;1
